,param_max_depth,param_min_child_weight,split,accuracy,dataset
144,5,4,4,0.6076555023923444,left_240x20
145,5,5,0,0.6190476190476191,left_240x20
146,5,5,1,0.5666666666666667,left_240x20
147,5,5,2,0.5619047619047619,left_240x20
148,5,5,3,0.6076555023923444,left_240x20
149,5,5,4,0.6076555023923444,left_240x20
150,6,0.0,0,0.6095238095238096,left_240x20
151,6,0.0,1,0.638095238095238,left_240x20
152,6,0.0,2,0.5476190476190477,left_240x20
153,6,0.0,3,0.6076555023923444,left_240x20
154,6,0.0,4,0.583732057416268,left_240x20
155,6,0.2,0,0.5571428571428572,left_240x20
156,6,0.2,1,0.5952380952380952,left_240x20
157,6,0.2,2,0.5285714285714286,left_240x20
158,6,0.2,3,0.5645933014354066,left_240x20
159,6,0.2,4,0.6124401913875598,left_240x20
160,6,0.4,0,0.580952380952381,left_240x20
161,6,0.4,1,0.6095238095238096,left_240x20
162,6,0.4,2,0.5523809523809524,left_240x20
163,6,0.4,3,0.5789473684210527,left_240x20
164,6,0.4,4,0.5502392344497608,left_240x20
165,6,0.6000000000000001,0,0.580952380952381,left_240x20
166,6,0.6000000000000001,1,0.6238095238095238,left_240x20
167,6,0.6000000000000001,2,0.5523809523809524,left_240x20
168,6,0.6000000000000001,3,0.5645933014354066,left_240x20
169,6,0.6000000000000001,4,0.5598086124401914,left_240x20
170,6,0.8,0,0.5428571428571428,left_240x20
171,6,0.8,1,0.5904761904761905,left_240x20
172,6,0.8,2,0.5380952380952381,left_240x20
173,6,0.8,3,0.5980861244019139,left_240x20
174,6,0.8,4,0.583732057416268,left_240x20
175,6,1,0,0.5857142857142857,left_240x20
176,6,1,1,0.6047619047619047,left_240x20
177,6,1,2,0.5761904761904761,left_240x20
178,6,1,3,0.6124401913875598,left_240x20
179,6,1,4,0.6028708133971292,left_240x20
180,6,2,0,0.580952380952381,left_240x20
181,6,2,1,0.6142857142857143,left_240x20
182,6,2,2,0.5238095238095238,left_240x20
183,6,2,3,0.6172248803827751,left_240x20
184,6,2,4,0.583732057416268,left_240x20
185,6,3,0,0.5904761904761905,left_240x20
186,6,3,1,0.580952380952381,left_240x20
187,6,3,2,0.5761904761904761,left_240x20
188,6,3,3,0.5885167464114832,left_240x20
189,6,3,4,0.5885167464114832,left_240x20
190,6,4,0,0.5619047619047619,left_240x20
191,6,4,1,0.5761904761904761,left_240x20
192,6,4,2,0.5619047619047619,left_240x20
193,6,4,3,0.6124401913875598,left_240x20
194,6,4,4,0.5550239234449761,left_240x20
195,6,5,0,0.6047619047619047,left_240x20
196,6,5,1,0.6142857142857143,left_240x20
197,6,5,2,0.5952380952380952,left_240x20
198,6,5,3,0.6172248803827751,left_240x20
199,6,5,4,0.6028708133971292,left_240x20
200,7,0.0,0,0.5666666666666667,left_240x20
201,7,0.0,1,0.5619047619047619,left_240x20
202,7,0.0,2,0.5285714285714286,left_240x20
203,7,0.0,3,0.5980861244019139,left_240x20
204,7,0.0,4,0.5933014354066986,left_240x20
205,7,0.2,0,0.5714285714285714,left_240x20
206,7,0.2,1,0.5666666666666667,left_240x20
207,7,0.2,2,0.5238095238095238,left_240x20
208,7,0.2,3,0.6124401913875598,left_240x20
209,7,0.2,4,0.6028708133971292,left_240x20
210,7,0.4,0,0.5619047619047619,left_240x20
211,7,0.4,1,0.5857142857142857,left_240x20
212,7,0.4,2,0.5142857142857142,left_240x20
213,7,0.4,3,0.5789473684210527,left_240x20
214,7,0.4,4,0.6028708133971292,left_240x20
215,7,0.6000000000000001,0,0.5619047619047619,left_240x20
216,7,0.6000000000000001,1,0.5952380952380952,left_240x20
217,7,0.6000000000000001,2,0.580952380952381,left_240x20
218,7,0.6000000000000001,3,0.6172248803827751,left_240x20
219,7,0.6000000000000001,4,0.6124401913875598,left_240x20
220,7,0.8,0,0.6047619047619047,left_240x20
221,7,0.8,1,0.580952380952381,left_240x20
222,7,0.8,2,0.5476190476190477,left_240x20
223,7,0.8,3,0.5980861244019139,left_240x20
224,7,0.8,4,0.5741626794258373,left_240x20
225,7,1,0,0.5333333333333333,left_240x20
226,7,1,1,0.6,left_240x20
227,7,1,2,0.5761904761904761,left_240x20
228,7,1,3,0.569377990430622,left_240x20
229,7,1,4,0.5789473684210527,left_240x20
230,7,2,0,0.5428571428571428,left_240x20
231,7,2,1,0.5714285714285714,left_240x20
232,7,2,2,0.5857142857142857,left_240x20
233,7,2,3,0.6028708133971292,left_240x20
234,7,2,4,0.5933014354066986,left_240x20
235,7,3,0,0.5571428571428572,left_240x20
236,7,3,1,0.5619047619047619,left_240x20
237,7,3,2,0.5428571428571428,left_240x20
238,7,3,3,0.6028708133971292,left_240x20
239,7,3,4,0.569377990430622,left_240x20
240,7,4,0,0.5904761904761905,left_240x20
241,7,4,1,0.580952380952381,left_240x20
242,7,4,2,0.580952380952381,left_240x20
243,7,4,3,0.5741626794258373,left_240x20
244,7,4,4,0.6411483253588517,left_240x20
245,7,5,0,0.5476190476190477,left_240x20
246,7,5,1,0.5857142857142857,left_240x20
247,7,5,2,0.5428571428571428,left_240x20
248,7,5,3,0.5885167464114832,left_240x20
249,7,5,4,0.5933014354066986,left_240x20
250,8,0.0,0,0.5619047619047619,left_240x20
251,8,0.0,1,0.5761904761904761,left_240x20
252,8,0.0,2,0.5380952380952381,left_240x20
253,8,0.0,3,0.6028708133971292,left_240x20
254,8,0.0,4,0.5980861244019139,left_240x20
255,8,0.2,0,0.5428571428571428,left_240x20
256,8,0.2,1,0.5952380952380952,left_240x20
257,8,0.2,2,0.5285714285714286,left_240x20
258,8,0.2,3,0.6363636363636364,left_240x20
259,8,0.2,4,0.569377990430622,left_240x20
260,8,0.4,0,0.6,left_240x20
261,8,0.4,1,0.5714285714285714,left_240x20
262,8,0.4,2,0.5952380952380952,left_240x20
263,8,0.4,3,0.6076555023923444,left_240x20
264,8,0.4,4,0.6076555023923444,left_240x20
265,8,0.6000000000000001,0,0.5285714285714286,left_240x20
266,8,0.6000000000000001,1,0.6333333333333333,left_240x20
267,8,0.6000000000000001,2,0.5333333333333333,left_240x20
268,8,0.6000000000000001,3,0.569377990430622,left_240x20
269,8,0.6000000000000001,4,0.5550239234449761,left_240x20
270,8,0.8,0,0.580952380952381,left_240x20
271,8,0.8,1,0.5952380952380952,left_240x20
272,8,0.8,2,0.580952380952381,left_240x20
273,8,0.8,3,0.6220095693779905,left_240x20
274,8,0.8,4,0.5741626794258373,left_240x20
275,8,1,0,0.5333333333333333,left_240x20
276,8,1,1,0.5761904761904761,left_240x20
277,8,1,2,0.5476190476190477,left_240x20
278,8,1,3,0.5789473684210527,left_240x20
279,8,1,4,0.5789473684210527,left_240x20
280,8,2,0,0.5714285714285714,left_240x20
281,8,2,1,0.580952380952381,left_240x20
282,8,2,2,0.5523809523809524,left_240x20
283,8,2,3,0.5789473684210527,left_240x20
284,8,2,4,0.5406698564593302,left_240x20
285,8,3,0,0.580952380952381,left_240x20
286,8,3,1,0.5523809523809524,left_240x20
287,8,3,2,0.5666666666666667,left_240x20
288,8,3,3,0.6076555023923444,left_240x20
289,8,3,4,0.6028708133971292,left_240x20
290,8,4,0,0.5428571428571428,left_240x20
291,8,4,1,0.6047619047619047,left_240x20
292,8,4,2,0.5523809523809524,left_240x20
293,8,4,3,0.6172248803827751,left_240x20
294,8,4,4,0.6028708133971292,left_240x20
295,8,5,0,0.5666666666666667,left_240x20
296,8,5,1,0.5904761904761905,left_240x20
297,8,5,2,0.6095238095238096,left_240x20
298,8,5,3,0.631578947368421,left_240x20
299,8,5,4,0.6411483253588517,left_240x20
300,9,0.0,0,0.5571428571428572,left_240x20
301,9,0.0,1,0.580952380952381,left_240x20
302,9,0.0,2,0.5428571428571428,left_240x20
303,9,0.0,3,0.569377990430622,left_240x20
304,9,0.0,4,0.5885167464114832,left_240x20
305,9,0.2,0,0.5904761904761905,left_240x20
306,9,0.2,1,0.5666666666666667,left_240x20
307,9,0.2,2,0.5333333333333333,left_240x20
308,9,0.2,3,0.6220095693779905,left_240x20
309,9,0.2,4,0.5933014354066986,left_240x20
310,9,0.4,0,0.6095238095238096,left_240x20
311,9,0.4,1,0.6,left_240x20
312,9,0.4,2,0.5714285714285714,left_240x20
313,9,0.4,3,0.6172248803827751,left_240x20
314,9,0.4,4,0.6076555023923444,left_240x20
315,9,0.6000000000000001,0,0.5571428571428572,left_240x20
316,9,0.6000000000000001,1,0.6,left_240x20
317,9,0.6000000000000001,2,0.5285714285714286,left_240x20
318,9,0.6000000000000001,3,0.5789473684210527,left_240x20
319,9,0.6000000000000001,4,0.5741626794258373,left_240x20
320,9,0.8,0,0.5571428571428572,left_240x20
321,9,0.8,1,0.6142857142857143,left_240x20
322,9,0.8,2,0.5428571428571428,left_240x20
323,9,0.8,3,0.6124401913875598,left_240x20
324,9,0.8,4,0.6220095693779905,left_240x20
325,9,1,0,0.5761904761904761,left_240x20
326,9,1,1,0.580952380952381,left_240x20
327,9,1,2,0.5619047619047619,left_240x20
328,9,1,3,0.6172248803827751,left_240x20
329,9,1,4,0.6124401913875598,left_240x20
330,9,2,0,0.5190476190476191,left_240x20
331,9,2,1,0.6,left_240x20
332,9,2,2,0.5333333333333333,left_240x20
333,9,2,3,0.5885167464114832,left_240x20
334,9,2,4,0.6076555023923444,left_240x20
335,9,3,0,0.5761904761904761,left_240x20
336,9,3,1,0.6190476190476191,left_240x20
337,9,3,2,0.5571428571428572,left_240x20
338,9,3,3,0.6124401913875598,left_240x20
339,9,3,4,0.6124401913875598,left_240x20
340,9,4,0,0.5571428571428572,left_240x20
341,9,4,1,0.5761904761904761,left_240x20
342,9,4,2,0.5952380952380952,left_240x20
343,9,4,3,0.5885167464114832,left_240x20
344,9,4,4,0.6411483253588517,left_240x20
345,9,5,0,0.5666666666666667,left_240x20
346,9,5,1,0.580952380952381,left_240x20
347,9,5,2,0.580952380952381,left_240x20
348,9,5,3,0.631578947368421,left_240x20
349,9,5,4,0.5885167464114832,left_240x20
350,3,0.0,0,0.6571428571428571,left_240x20_fixed
351,3,0.0,1,0.6333333333333333,left_240x20_fixed
352,3,0.0,2,0.6333333333333333,left_240x20_fixed
353,3,0.0,3,0.6028708133971292,left_240x20_fixed
354,3,0.0,4,0.6172248803827751,left_240x20_fixed
355,3,0.2,0,0.6571428571428571,left_240x20_fixed
356,3,0.2,1,0.6333333333333333,left_240x20_fixed
357,3,0.2,2,0.6142857142857143,left_240x20_fixed
358,3,0.2,3,0.5933014354066986,left_240x20_fixed
359,3,0.2,4,0.5980861244019139,left_240x20_fixed
360,3,0.4,0,0.6238095238095238,left_240x20_fixed
361,3,0.4,1,0.6238095238095238,left_240x20_fixed
