,param_learning_rate,param_n_estimators,split,accuracy,dataset
345,0.07,50,0,0.9022082018927445,H41
346,0.07,50,1,0.9053627760252366,H41
347,0.07,50,2,0.8924050632911392,H41
348,0.07,50,3,0.9018987341772152,H41
349,0.07,50,4,0.8670886075949367,H41
350,0.07,60,0,0.9022082018927445,H41
351,0.07,60,1,0.9053627760252366,H41
352,0.07,60,2,0.8924050632911392,H41
353,0.07,60,3,0.8987341772151899,H41
354,0.07,60,4,0.8670886075949367,H41
355,0.07,70,0,0.9022082018927445,H41
356,0.07,70,1,0.9053627760252366,H41
357,0.07,70,2,0.8924050632911392,H41
358,0.07,70,3,0.8987341772151899,H41
359,0.07,70,4,0.8670886075949367,H41
360,0.07,80,0,0.9022082018927445,H41
361,0.07,80,1,0.9053627760252366,H41
362,0.07,80,2,0.8924050632911392,H41
363,0.07,80,3,0.8955696202531646,H41
364,0.07,80,4,0.8670886075949367,H41
365,0.07,90,0,0.9022082018927445,H41
366,0.07,90,1,0.9053627760252366,H41
367,0.07,90,2,0.8892405063291139,H41
368,0.07,90,3,0.8987341772151899,H41
369,0.07,90,4,0.8670886075949367,H41
370,0.07,100,0,0.8990536277602523,H41
371,0.07,100,1,0.9053627760252366,H41
372,0.07,100,2,0.8924050632911392,H41
373,0.07,100,3,0.8987341772151899,H41
374,0.07,100,4,0.8670886075949367,H41
375,0.07,110,0,0.8990536277602523,H41
376,0.07,110,1,0.9053627760252366,H41
377,0.07,110,2,0.8924050632911392,H41
378,0.07,110,3,0.8955696202531646,H41
379,0.07,110,4,0.8639240506329114,H41
380,0.07,120,0,0.8958990536277602,H41
381,0.07,120,1,0.9022082018927445,H41
382,0.07,120,2,0.8892405063291139,H41
383,0.07,120,3,0.8955696202531646,H41
384,0.07,120,4,0.8639240506329114,H41
385,0.08,10,0,0.832807570977918,H41
386,0.08,10,1,0.9053627760252366,H41
387,0.08,10,2,0.8924050632911392,H41
388,0.08,10,3,0.8987341772151899,H41
389,0.08,10,4,0.8670886075949367,H41
390,0.08,20,0,0.9022082018927445,H41
391,0.08,20,1,0.9053627760252366,H41
392,0.08,20,2,0.8924050632911392,H41
393,0.08,20,3,0.8987341772151899,H41
394,0.08,20,4,0.8670886075949367,H41
395,0.08,30,0,0.9022082018927445,H41
396,0.08,30,1,0.9053627760252366,H41
397,0.08,30,2,0.8924050632911392,H41
398,0.08,30,3,0.8987341772151899,H41
399,0.08,30,4,0.8670886075949367,H41
400,0.08,40,0,0.9022082018927445,H41
401,0.08,40,1,0.9053627760252366,H41
402,0.08,40,2,0.8924050632911392,H41
403,0.08,40,3,0.9018987341772152,H41
404,0.08,40,4,0.8670886075949367,H41
405,0.08,50,0,0.9022082018927445,H41
406,0.08,50,1,0.9053627760252366,H41
407,0.08,50,2,0.8924050632911392,H41
408,0.08,50,3,0.9018987341772152,H41
409,0.08,50,4,0.8670886075949367,H41
410,0.08,60,0,0.9022082018927445,H41
411,0.08,60,1,0.9053627760252366,H41
412,0.08,60,2,0.8924050632911392,H41
413,0.08,60,3,0.9018987341772152,H41
414,0.08,60,4,0.8670886075949367,H41
415,0.08,70,0,0.9022082018927445,H41
416,0.08,70,1,0.9053627760252366,H41
417,0.08,70,2,0.8924050632911392,H41
418,0.08,70,3,0.8955696202531646,H41
419,0.08,70,4,0.8670886075949367,H41
420,0.08,80,0,0.8990536277602523,H41
421,0.08,80,1,0.9022082018927445,H41
422,0.08,80,2,0.8860759493670886,H41
423,0.08,80,3,0.8924050632911392,H41
424,0.08,80,4,0.8670886075949367,H41
425,0.08,90,0,0.8990536277602523,H41
426,0.08,90,1,0.9085173501577287,H41
427,0.08,90,2,0.8860759493670886,H41
428,0.08,90,3,0.8924050632911392,H41
429,0.08,90,4,0.8670886075949367,H41
430,0.08,100,0,0.8958990536277602,H41
431,0.08,100,1,0.9085173501577287,H41
432,0.08,100,2,0.8860759493670886,H41
433,0.08,100,3,0.8924050632911392,H41
434,0.08,100,4,0.8670886075949367,H41
435,0.08,110,0,0.8958990536277602,H41
436,0.08,110,1,0.9022082018927445,H41
437,0.08,110,2,0.8860759493670886,H41
438,0.08,110,3,0.8924050632911392,H41
439,0.08,110,4,0.8639240506329114,H41
440,0.09,10,0,0.832807570977918,H41
441,0.09,10,1,0.9053627760252366,H41
442,0.09,10,2,0.8924050632911392,H41
443,0.09,10,3,0.8987341772151899,H41
444,0.09,10,4,0.8670886075949367,H41
445,0.09,20,0,0.9022082018927445,H41
446,0.09,20,1,0.9053627760252366,H41
447,0.09,20,2,0.8924050632911392,H41
448,0.09,20,3,0.8987341772151899,H41
449,0.09,20,4,0.870253164556962,H41
450,0.09,30,0,0.9022082018927445,H41
451,0.09,30,1,0.9053627760252366,H41
452,0.09,30,2,0.8924050632911392,H41
453,0.09,30,3,0.8987341772151899,H41
454,0.09,30,4,0.8670886075949367,H41
455,0.09,40,0,0.9022082018927445,H41
456,0.09,40,1,0.9053627760252366,H41
457,0.09,40,2,0.8924050632911392,H41
458,0.09,40,3,0.9018987341772152,H41
459,0.09,40,4,0.870253164556962,H41
460,0.09,50,0,0.9022082018927445,H41
461,0.09,50,1,0.9053627760252366,H41
462,0.09,50,2,0.8924050632911392,H41
463,0.09,50,3,0.9018987341772152,H41
