,param_max_depth,param_min_child_weight,split,accuracy,dataset
188,8,3,3,0.8829113924050633,H41
189,8,3,4,0.8670886075949367,H41
190,8,4,0,0.8990536277602523,H41
191,8,4,1,0.8958990536277602,H41
192,8,4,2,0.8765822784810127,H41
193,8,4,3,0.8765822784810127,H41
194,8,4,4,0.8639240506329114,H41
195,8,5,0,0.886435331230284,H41
196,8,5,1,0.8927444794952681,H41
197,8,5,2,0.8734177215189873,H41
198,8,5,3,0.8734177215189873,H41
199,8,5,4,0.8639240506329114,H41
200,9,1,0,0.8990536277602523,H41
201,9,1,1,0.9053627760252366,H41
202,9,1,2,0.8924050632911392,H41
203,9,1,3,0.8924050632911392,H41
204,9,1,4,0.8670886075949367,H41
205,9,2,0,0.8990536277602523,H41
206,9,2,1,0.9022082018927445,H41
207,9,2,2,0.8924050632911392,H41
208,9,2,3,0.8860759493670886,H41
209,9,2,4,0.8670886075949367,H41
210,9,3,0,0.8958990536277602,H41
211,9,3,1,0.8958990536277602,H41
212,9,3,2,0.8829113924050633,H41
213,9,3,3,0.8892405063291139,H41
214,9,3,4,0.870253164556962,H41
215,9,4,0,0.8927444794952681,H41
216,9,4,1,0.8927444794952681,H41
217,9,4,2,0.879746835443038,H41
218,9,4,3,0.879746835443038,H41
219,9,4,4,0.8670886075949367,H41
220,9,5,0,0.886435331230284,H41
221,9,5,1,0.889589905362776,H41
222,9,5,2,0.8734177215189873,H41
223,9,5,3,0.8734177215189873,H41
224,9,5,4,0.8639240506329114,H41
225,1,1,0,0.5444444444444444,left_240x20
226,1,1,1,0.6166666666666667,left_240x20
227,1,1,2,0.6055555555555555,left_240x20
228,1,1,3,0.5166666666666667,left_240x20
229,1,1,4,0.5666666666666667,left_240x20
230,1,2,0,0.5444444444444444,left_240x20
231,1,2,1,0.6166666666666667,left_240x20
232,1,2,2,0.6055555555555555,left_240x20
233,1,2,3,0.5166666666666667,left_240x20
234,1,2,4,0.5666666666666667,left_240x20
235,1,3,0,0.5444444444444444,left_240x20
236,1,3,1,0.6166666666666667,left_240x20
237,1,3,2,0.6055555555555555,left_240x20
238,1,3,3,0.5166666666666667,left_240x20
239,1,3,4,0.5666666666666667,left_240x20
240,1,4,0,0.5444444444444444,left_240x20
241,1,4,1,0.6166666666666667,left_240x20
242,1,4,2,0.6055555555555555,left_240x20
243,1,4,3,0.5166666666666667,left_240x20
244,1,4,4,0.5666666666666667,left_240x20
245,1,5,0,0.5444444444444444,left_240x20
246,1,5,1,0.6166666666666667,left_240x20
247,1,5,2,0.6055555555555555,left_240x20
248,1,5,3,0.5166666666666667,left_240x20
249,1,5,4,0.5666666666666667,left_240x20
250,2,1,0,0.5611111111111111,left_240x20
251,2,1,1,0.6277777777777778,left_240x20
252,2,1,2,0.6222222222222222,left_240x20
253,2,1,3,0.5555555555555556,left_240x20
254,2,1,4,0.6222222222222222,left_240x20
255,2,2,0,0.5722222222222222,left_240x20
256,2,2,1,0.6222222222222222,left_240x20
257,2,2,2,0.6055555555555555,left_240x20
258,2,2,3,0.5555555555555556,left_240x20
259,2,2,4,0.65,left_240x20
260,2,3,0,0.5722222222222222,left_240x20
261,2,3,1,0.6444444444444445,left_240x20
262,2,3,2,0.6111111111111112,left_240x20
263,2,3,3,0.5333333333333333,left_240x20
264,2,3,4,0.6277777777777778,left_240x20
265,2,4,0,0.5722222222222222,left_240x20
266,2,4,1,0.6333333333333333,left_240x20
267,2,4,2,0.6166666666666667,left_240x20
268,2,4,3,0.55,left_240x20
269,2,4,4,0.6055555555555555,left_240x20
270,2,5,0,0.6166666666666667,left_240x20
271,2,5,1,0.6388888888888888,left_240x20
272,2,5,2,0.6166666666666667,left_240x20
273,2,5,3,0.5444444444444444,left_240x20
274,2,5,4,0.6277777777777778,left_240x20
275,3,1,0,0.6,left_240x20
276,3,1,1,0.6333333333333333,left_240x20
277,3,1,2,0.6055555555555555,left_240x20
278,3,1,3,0.6055555555555555,left_240x20
279,3,1,4,0.6166666666666667,left_240x20
280,3,2,0,0.5555555555555556,left_240x20
281,3,2,1,0.6111111111111112,left_240x20
282,3,2,2,0.6055555555555555,left_240x20
283,3,2,3,0.6166666666666667,left_240x20
284,3,2,4,0.6111111111111112,left_240x20
285,3,3,0,0.5833333333333334,left_240x20
286,3,3,1,0.6444444444444445,left_240x20
287,3,3,2,0.5944444444444444,left_240x20
288,3,3,3,0.6166666666666667,left_240x20
289,3,3,4,0.65,left_240x20
290,3,4,0,0.5833333333333334,left_240x20
291,3,4,1,0.6333333333333333,left_240x20
292,3,4,2,0.5888888888888889,left_240x20
293,3,4,3,0.6055555555555555,left_240x20
294,3,4,4,0.6222222222222222,left_240x20
295,3,5,0,0.5888888888888889,left_240x20
296,3,5,1,0.6277777777777778,left_240x20
297,3,5,2,0.6166666666666667,left_240x20
298,3,5,3,0.6222222222222222,left_240x20
299,3,5,4,0.6166666666666667,left_240x20
300,4,1,0,0.5944444444444444,left_240x20
301,4,1,1,0.6388888888888888,left_240x20
302,4,1,2,0.6111111111111112,left_240x20
303,4,1,3,0.6055555555555555,left_240x20
304,4,1,4,0.6,left_240x20
305,4,2,0,0.5611111111111111,left_240x20
306,4,2,1,0.6333333333333333,left_240x20
307,4,2,2,0.5833333333333334,left_240x20
