,database,dataset,partition,method,accuracy
137,UND_GFI,left_240x40,3,mlp_5,56.68896436691284
138,UND_GFI,left_240x40,4,mlp_0,53.51170301437378
139,UND_GFI,left_240x40,4,mlp_1,52.84280776977539
140,UND_GFI,left_240x40,4,mlp_2,56.02006912231445
141,UND_GFI,left_240x40,4,mlp_3,54.682272672653205
142,UND_GFI,left_240x40,4,mlp_4,52.67558693885803
143,UND_GFI,left_240x40,4,mlp_5,57.85953402519226
144,UND_GFI,left_240x40,5,mlp_0,55.18394708633423
145,UND_GFI,left_240x40,5,mlp_1,54.180604219436646
146,UND_GFI,left_240x40,5,mlp_2,54.180604219436646
147,UND_GFI,left_240x40,5,mlp_3,54.01337742805481
148,UND_GFI,left_240x40,5,mlp_4,58.36120247840881
149,UND_GFI,left_240x40,5,mlp_5,57.35785961151123
150,UND_GFI,left_240x40,6,mlp_0,54.682272672653205
151,UND_GFI,left_240x40,6,mlp_1,58.69565010070801
152,UND_GFI,left_240x40,6,mlp_2,56.521737575531006
153,UND_GFI,left_240x40,6,mlp_3,57.190632820129395
154,UND_GFI,left_240x40,6,mlp_4,61.20401620864868
155,UND_GFI,left_240x40,6,mlp_5,54.682272672653205
156,UND_GFI,left_240x40,7,mlp_0,50.66889524459839
157,UND_GFI,left_240x40,7,mlp_1,52.173912525177
158,UND_GFI,left_240x40,7,mlp_2,53.34448218345642
159,UND_GFI,left_240x40,7,mlp_3,58.19398164749146
160,UND_GFI,left_240x40,7,mlp_4,56.8561851978302
161,UND_GFI,left_240x40,7,mlp_5,57.023411989212036
162,UND_GFI,left_240x40,8,mlp_0,58.02675485610962
163,UND_GFI,left_240x40,8,mlp_1,59.86621975898743
164,UND_GFI,left_240x40,8,mlp_2,58.19398164749146
165,UND_GFI,left_240x40,8,mlp_3,56.18728995323181
166,UND_GFI,left_240x40,8,mlp_4,57.35785961151123
167,UND_GFI,left_240x40,8,mlp_5,57.023411989212036
168,UND_GFI,left_240x40,9,mlp_0,52.67558693885803
169,UND_GFI,left_240x40,9,mlp_1,56.02006912231445
170,UND_GFI,left_240x40,9,mlp_2,55.35116791725161
171,UND_GFI,left_240x40,9,mlp_3,53.51170301437378
172,UND_GFI,left_240x40,9,mlp_4,55.35116791725161
173,UND_GFI,left_240x40,9,mlp_5,54.51505184173584
174,UND_GFI,left_240x40,10,mlp_0,58.02675485610962
175,UND_GFI,left_240x40,10,mlp_1,60.36789417266846
176,UND_GFI,left_240x40,10,mlp_2,55.68562150001526
177,UND_GFI,left_240x40,10,mlp_3,55.01672029495239
178,UND_GFI,left_240x40,10,mlp_4,57.35785961151123
179,UND_GFI,left_240x40,10,mlp_5,55.85284233093262
180,UND_GFI,right_240x40,1,mlp_0,57.57575631141663
181,UND_GFI,right_240x40,1,mlp_1,53.703701496124275
182,UND_GFI,right_240x40,1,mlp_2,56.734007596969604
183,UND_GFI,right_240x40,1,mlp_3,57.407408952713006
184,UND_GFI,right_240x40,1,mlp_4,49.32659864425659
185,UND_GFI,right_240x40,1,mlp_5,57.07070827484131
186,UND_GFI,right_240x40,2,mlp_0,53.36700081825256
187,UND_GFI,right_240x40,2,mlp_1,57.74410963058472
188,UND_GFI,right_240x40,2,mlp_2,54.54545617103579
189,UND_GFI,right_240x40,2,mlp_3,56.90235495567322
190,UND_GFI,right_240x40,2,mlp_4,53.535354137420654
191,UND_GFI,right_240x40,2,mlp_5,58.41751098632813
192,UND_GFI,right_240x40,3,mlp_0,54.71380352973938
193,UND_GFI,right_240x40,3,mlp_1,55.05050420761109
194,UND_GFI,right_240x40,3,mlp_2,51.68350338935852
195,UND_GFI,right_240x40,3,mlp_3,57.57575631141663
196,UND_GFI,right_240x40,3,mlp_4,57.07070827484131
197,UND_GFI,right_240x40,3,mlp_5,55.892252922058105
198,UND_GFI,right_240x40,4,mlp_0,54.377102851867676
199,UND_GFI,right_240x40,4,mlp_1,54.88215684890747
200,UND_GFI,right_240x40,4,mlp_2,53.87205481529236
201,UND_GFI,right_240x40,4,mlp_3,53.19865345954895
202,UND_GFI,right_240x40,4,mlp_4,57.74410963058472
203,UND_GFI,right_240x40,4,mlp_5,54.71380352973938
204,UND_GFI,right_240x40,5,mlp_0,54.20875549316406
205,UND_GFI,right_240x40,5,mlp_1,56.90235495567322
206,UND_GFI,right_240x40,5,mlp_2,57.57575631141663
207,UND_GFI,right_240x40,5,mlp_3,59.42760705947876
208,UND_GFI,right_240x40,5,mlp_4,52.861952781677246
209,UND_GFI,right_240x40,5,mlp_5,56.22895359992981
210,UND_GFI,right_240x40,6,mlp_0,54.88215684890747
211,UND_GFI,right_240x40,6,mlp_1,55.38720488548279
212,UND_GFI,right_240x40,6,mlp_2,55.55555820465088
213,UND_GFI,right_240x40,6,mlp_3,54.20875549316406
214,UND_GFI,right_240x40,6,mlp_4,53.03030014038086
215,UND_GFI,right_240x40,6,mlp_5,56.0606062412262
216,UND_GFI,right_240x40,7,mlp_0,57.407408952713006
217,UND_GFI,right_240x40,7,mlp_1,54.88215684890747
218,UND_GFI,right_240x40,7,mlp_2,54.20875549316406
219,UND_GFI,right_240x40,7,mlp_3,56.22895359992981
220,UND_GFI,right_240x40,7,mlp_4,54.88215684890747
221,UND_GFI,right_240x40,7,mlp_5,57.07070827484131
222,UND_GFI,right_240x40,8,mlp_0,54.377102851867676
223,UND_GFI,right_240x40,8,mlp_1,53.19865345954895
224,UND_GFI,right_240x40,8,mlp_2,54.54545617103579
225,UND_GFI,right_240x40,8,mlp_3,53.03030014038086
226,UND_GFI,right_240x40,8,mlp_4,54.20875549316406
227,UND_GFI,right_240x40,8,mlp_5,57.74410963058472
228,UND_GFI,right_240x40,9,mlp_0,54.54545617103579
229,UND_GFI,right_240x40,9,mlp_1,54.20875549316406
230,UND_GFI,right_240x40,9,mlp_2,51.68350338935852
231,UND_GFI,right_240x40,9,mlp_3,51.346802711486816
232,UND_GFI,right_240x40,9,mlp_4,51.01010203361511
233,UND_GFI,right_240x40,9,mlp_5,51.68350338935852
234,UND_GFI,right_240x40,10,mlp_0,52.188551425933845
235,UND_GFI,right_240x40,10,mlp_1,53.535354137420654
236,UND_GFI,right_240x40,10,mlp_2,56.90235495567322
237,UND_GFI,right_240x40,10,mlp_3,52.861952781677246
238,UND_GFI,right_240x40,10,mlp_4,55.55555820465088
239,UND_GFI,right_240x40,10,mlp_5,54.20875549316406
240,UND_GFI,left_480x80,1,mlp_0,58.02675485610962
241,UND_GFI,left_480x80,1,mlp_1,56.68896436691284
242,UND_GFI,left_480x80,1,mlp_2,56.68896436691284
243,UND_GFI,left_480x80,1,mlp_3,58.36120247840881
244,UND_GFI,left_480x80,1,mlp_4,57.692307233810425
245,UND_GFI,left_480x80,1,mlp_5,55.51839470863342
246,UND_GFI,left_480x80,2,mlp_0,59.19732451438904
247,UND_GFI,left_480x80,2,mlp_1,60.86956262588501
248,UND_GFI,left_480x80,2,mlp_2,58.69565010070801
249,UND_GFI,left_480x80,2,mlp_3,57.692307233810425
250,UND_GFI,left_480x80,2,mlp_4,57.190632820129395
251,UND_GFI,left_480x80,2,mlp_5,56.8561851978302
252,UND_GFI,left_480x80,3,mlp_0,60.36789417266846
253,UND_GFI,left_480x80,3,mlp_1,60.53511500358582
254,UND_GFI,left_480x80,3,mlp_2,61.70568466186523
255,UND_GFI,left_480x80,3,mlp_3,59.69899892807007
256,UND_GFI,left_480x80,3,mlp_4,60.70234179496765
257,UND_GFI,left_480x80,3,mlp_5,59.36455130577088
