,database,dataset,partition,method,accuracy
125,UND_GFI,right_480x80,2,cnn_simpler,56.565654277801514
126,UND_GFI,right_480x80,2,cnn_dropout,53.19865345954895
127,UND_GFI,right_480x80,2,cnn,55.55555820465088
128,UND_GFI,right_480x80,3,cnn_dropout_simpler,57.40740895271301
129,UND_GFI,right_480x80,3,cnn_simpler,57.40740895271301
130,UND_GFI,right_480x80,3,cnn_dropout,56.734007596969604
131,UND_GFI,right_480x80,3,cnn,56.3973069190979
132,UND_GFI,right_480x80,4,cnn_dropout_simpler,60.94276309013367
133,UND_GFI,right_480x80,4,cnn_simpler,58.58585834503174
134,UND_GFI,right_480x80,4,cnn_dropout,55.55555820465088
135,UND_GFI,right_480x80,4,cnn,56.90235495567322
136,UND_GFI,right_480x80,5,cnn_dropout_simpler,56.90235495567322
137,UND_GFI,right_480x80,5,cnn_simpler,58.75421166419983
138,UND_GFI,right_480x80,5,cnn_dropout,55.218857526779175
139,UND_GFI,right_480x80,5,cnn,58.58585834503174
140,UND_GFI,right_480x80,6,cnn_dropout_simpler,57.40740895271301
141,UND_GFI,right_480x80,6,cnn_simpler,56.565654277801514
142,UND_GFI,right_480x80,6,cnn_dropout,55.38720488548279
143,UND_GFI,right_480x80,6,cnn,52.52525210380554
144,UND_GFI,right_480x80,7,cnn_dropout_simpler,61.11111044883728
145,UND_GFI,right_480x80,7,cnn_simpler,58.92255902290344
146,UND_GFI,right_480x80,7,cnn_dropout,56.060606241226196
147,UND_GFI,right_480x80,7,cnn,57.23905563354492
148,UND_GFI,right_480x80,8,cnn_dropout_simpler,56.90235495567322
149,UND_GFI,right_480x80,8,cnn_simpler,60.43770909309387
150,UND_GFI,right_480x80,8,cnn_dropout,56.734007596969604
151,UND_GFI,right_480x80,8,cnn,56.90235495567322
152,UND_GFI,right_480x80,9,cnn_dropout_simpler,56.22895359992981
153,UND_GFI,right_480x80,9,cnn_simpler,56.565654277801514
154,UND_GFI,right_480x80,9,cnn_dropout,53.03030014038086
155,UND_GFI,right_480x80,9,cnn,56.565654277801514
156,UND_GFI,right_480x80,10,cnn_dropout_simpler,58.58585834503174
157,UND_GFI,right_480x80,10,cnn_simpler,56.060606241226196
158,UND_GFI,right_480x80,10,cnn_dropout,57.23905563354492
159,UND_GFI,right_480x80,10,cnn,56.060606241226196
